Timestamp,In-Game Name,Vanquisher/Galley Castles [Senator Capable],Vanquisher/Galley Castles [Not Senator Capable],Horseman/Galley Castles [Senator Capable],Horseman/Galley Castles [Not Senator Capable],Sorcerer/Galley Castles [Senator Capable],Sorcerer/Galley Castles [Not Senator Capable],Druid/Galley Castles [Senator Capable],Druid/Galley Castles [Not Senator Capable],Warship Castles [Senator Capable],Warship Castles [Not Senator Capable],Fakes  [Senator Capable],Fakes  [Not Senator Capable]
1/3/2018 17:00:15,Matanmaha,1,,,,1,,,,,3,,4
1/3/2018 17:04:02,blimpo,1,,,1,,,,,,,3,19
1/3/2018 17:17:33,PankyMoon,,,,,,,,,,5,,9
1/3/2018 17:30:19,Reiderr,4,,,,3,,1,,4,,,
1/3/2018 17:43:57,chaos prophet,,,,,2,1,,,1,4,,
1/3/2018 18:11:15,LordXanthrop,,2,,3,,1,,,,2,,
1/3/2018 18:33:12,JasonM92683,8,3,1,4,,4,,,1,,1,
1/4/2018 0:07:55,macewindu,,3,,,,5,,,6,,2,4
1/4/2018 0:31:11,azuckut,,,,,,1,,,,,,3
1/4/2018 3:14:16,sasoras,,,,,,,,,1,,,
1/4/2018 4:49:36,deireath,2,,,1,,,,,1,2,6,20+
1/4/2018 6:51:25,Danielvsn,1,,,,1,,1,,15,,,
1/4/2018 13:16:57,JennaB,1,,,,,1,,,1,,4,
1/4/2018 13:56:52,Murri,,,,1,,,,,4,,,
1/4/2018 18:50:51,Xaroff,,,,,5,,,,8,,,
1/4/2018 19:07:17,Dmuff,1,,,,1,,,,2,,,
1/4/2018 20:56:47,3putt,,,,,,,,,2,,5,
1/5/2018 15:44:08,guppy,,,,1,,2,,2,1,,4,4
1/6/2018 18:40:38,Dallagor,,,,,,,,,2,8,,20+
1/6/2018 18:40:59,Falike,4,,,3,,1,,1,,5,,20+
1/6/2018 18:51:53,alabud,1,,1,,1,,,,8,,,9
1/6/2018 19:01:20,LordDoogie,3,3,,3,,3,,,2,,,
1/6/2018 19:49:31,jamohud,,1,,,,,,,,1,,
1/6/2018 19:56:32,dudex,,,,,,1,,,,2,,5
1/6/2018 21:29:34,Sword,,,,,,,,,,,,
1/6/2018 21:45:23,Cigamit,,5,,4,5,,,,5,,,
1/6/2018 22:36:37,VAMPDOG,2,,,,,,,,3,,8,
1/6/2018 23:14:39,Barbiedoll19,,,1,,,,1,,1,,,
1/6/2018 23:51:56,jobrien,1,,1,1,1,1,,,,,,
1/7/2018 4:52:06,emerenzia,,5,,,,,,,,3,,4
1/7/2018 6:02:39,whyteagle,,,,,,1,,,,5,,6
1/7/2018 10:10:49,Idiocracy,,13,,,,6,,,,5,,7
1/7/2018 14:40:15,NiteWish,,,,,2,,,,3,,4,7
1/7/2018 15:51:00,Jethro702,3,,1,1,,1,,,,5,,
1/7/2018 18:14:30,iwillplay,1,3,,,,,,,,4,,
1/9/2018 9:49:43,KaiserJM,,,,,2,,,,2,,,
1/9/2018 9:53:52,Seb7401,,,1,,1,,,,,1,,
1/9/2018 9:57:12,GoldWing,11,,,3,7,,,,6,,,
1/9/2018 10:08:18,UpisMaximus,,,,,,,,,4,,,
1/9/2018 10:19:04,therev,,1,,,,,,,,1,,2
1/9/2018 10:34:28,zeke76,3,,3,2,2,4,,,2,,,
1/9/2018 10:37:39,MissT,5,,,2,,2,,,3,,,
1/9/2018 10:41:29,Gilbert56,2,2,,,,,,,,1,,4
1/9/2018 11:03:30,TUHausi,,,,,,,,,,5,1,
1/9/2018 11:19:40,eraboros,2,3,,,,2,,,,2,,
1/9/2018 11:31:58,SrSolidSnake,1,,1,,,,,,8,,,
1/9/2018 11:35:43,Van67,1,3,,,1,2,,,2,1,,
1/9/2018 11:39:23,princi,2,3,,1,4,,,,1,2,,5
1/9/2018 11:54:12,WrathX,8,,,3,2,,,,8,,,20+
1/9/2018 13:14:08,FarHiker,8,1,1,,3,,,,1,2,1,1
1/9/2018 14:58:42,TwoGun,2,,2,2,,,1,,,,,8
1/9/2018 15:31:28,vindu230,,,,,,1,,,,,,3
1/9/2018 15:59:55,Lafayette,4,,,4,,4,,,4,,1,
1/9/2018 16:11:13,Raine,,,,1,,1,,,,,5,
1/9/2018 17:41:42,deepthoughts,,6,,3,,1,,,,9,,6
1/9/2018 19:24:38,Guzzer,,12,,7,,2,,,,2,,
1/7/2018 18:14:30,Skurj,2,2,1,,2,3,,,2,,,
