"Tribulation Saints" with score: 139089           Players: [SondraKaye has 17 cities score = 139089]
"Deutsche Wehrmacht" with score: 1785             Players: [dragonfire12 has 1 cities score = 1643, Toros_Alanya has 1 cities score = 142]
"M.Y.T.H" with score: 3524                        Players: [GypsyRaider has 1 cities score = 2532, percueus has 1 cities score = 992]
"UnitedFedofPlanets" with score: 3487             Players: [LordDeTracy has 3 cities score = 3487]
"Hungarian Army" with score: 1054                 Players: [kalldani has 1 cities score = 1054]
"Sausages" with score: 70767                      Players: [Darkendvoid has 1 cities score = 1090, Demonik has 12 cities score = 69677]
"SoFrench" with score: 3466                       Players: [Erebor has 2 cities score = 3466]
"Goofing on Elvis" with score: 23908              Players: [Vampyre has 4 cities score = 13153, jknight2112 has 5 cities score = 10755]
"Alliance One" with score: 236032                 Players: [Brave has 40 cities score = 236032]
"Rifleman" with score: 49940                      Players: [Lukvasstvest has 13 cities score = 49940]
"Neophyte" with score: 6126                       Players: [gipnipripnip has 3 cities score = 6126]
"Scarabs" with score: 267865                      Players: [Yabby has 5 cities score = 7890, Gl0balis has 5 cities score = 21627, OldCanGuy has 3 cities score = 7821, SirFukwit has 12 cities score = 64421, Ice has 1 cities score = 2862, macaireb has 5 cities score = 39435, fry has 2 cities score = 1873, Sealth has 1 cities score = 1463, Wizzadd has 12 cities score = 41852, Kdielaltehr has 3 cities score = 9542, javier has 3 cities score = 11719, GraceStone has 5 cities score = 21425, Mr_mac_Earc has 6 cities score = 35935]
"The Wolf Pack" with score: 12011023              Players: [Tondart has 29 cities score = 147708, SaltyDawgg has 25 cities score = 153005, Rabblerob has 22 cities score = 129103, vindu230 has 8 cities score = 40247, Klunt has 9 cities score = 61875, energaizeris has 24 cities score = 172598, Raze444 has 49 cities score = 171073, red4dragon has 24 cities score = 146735, Fociok has 29 cities score = 224089, zlfikar has 15 cities score = 108752, Safi has 13 cities score = 80157, Haldors has 46 cities score = 218594, Cybernoid has 26 cities score = 189261, neo92100 has 3 cities score = 14964, Volvan has 16 cities score = 89899, 68Wolfpack has 10 cities score = 31819, kozist01 has 32 cities score = 207826, Heisenberg has 37 cities score = 206839, brooklyn0817 has 14 cities score = 75164, manticorus has 9 cities score = 50772, jamohud has 47 cities score = 345788, Templar has 46 cities score = 292914, Syadon has 45 cities score = 229429, blimpo has 32 cities score = 181628, Guppy has 26 cities score = 190678, KaiserJM has 42 cities score = 241590, SilentDeath has 26 cities score = 154803, davidrrr has 17 cities score = 87206, LadyZoey has 32 cities score = 129489, mggphoenix2 has 5 cities score = 15428, Trixrabbit has 40 cities score = 282191, sasoras has 52 cities score = 319705, 1limesand has 16 cities score = 91651, Neuro has 23 cities score = 90975, roosevelt71 has 6 cities score = 30293, llb176 has 13 cities score = 72848, Carnage has 3 cities score = 8837, Multics has 46 cities score = 296954, COCO has 25 cities score = 133363, rudyjr has 10 cities score = 61047, MochaMerlin has 8 cities score = 22874, Electra has 34 cities score = 180707, Mephisto has 30 cities score = 148646, Baconsbud has 18 cities score = 120618, Darman has 28 cities score = 216856, Shouldna has 25 cities score = 164205, Zeke76 has 32 cities score = 178603, Amero has 38 cities score = 170647, Fionnula has 37 cities score = 250546, shimo has 16 cities score = 96966, trooper has 40 cities score = 183865, BrianG1110 has 5 cities score = 26264, mig31 has 24 cities score = 165454, Meslik has 5 cities score = 15709, Ferbius has 9 cities score = 58956, Wolf has 27 cities score = 157648, LordRage has 43 cities score = 368683, Posbi has 14 cities score = 114420, Denning has 16 cities score = 124138, mark6220 has 21 cities score = 105257, Hudfesto has 20 cities score = 144231, TheMask has 4 cities score = 20824, Van67 has 49 cities score = 283353, rogashia has 25 cities score = 195295, free2p has 34 cities score = 249558, Hydrobia has 24 cities score = 143680, DarkRose83 has 14 cities score = 103734, Skadi1 has 13 cities score = 74102, acidburn83 has 8 cities score = 42264, Belford has 36 cities score = 216310, Heimer has 85 cities score = 476273, 1dsd has 38 cities score = 286006, CactusBob has 16 cities score = 103057, SrSolidSnake has 53 cities score = 270729, nav728 has 12 cities score = 53411, Krokal has 10 cities score = 40659, ChrisTheBest has 36 cities score = 166872, Matanmaha has 52 cities score = 324462, Schotti97 has 32 cities score = 167844]
"Lubberland 2" with score: 4016                   Players: [KingDavid has 1 cities score = 4016]
"Angelus Mortis" with score: 82889                Players: [HelaTheDark has 9 cities score = 82889]
