ranking,continent,alliance,military
1,1,Dirty Mastiff Cartel,1893858
2,1,Black Sail Reapers,8329
1,2,Dirty Mastiff Cartel,64732537
2,2,Bad Hombres,1043881
3,2,Axis 17,554583
4,2,Die Rentnergang,77036
5,2,HellSpawn,73097
6,2,NEPOTICOS UNIDOS,2585
7,2,wolfdogs,170
8,2,Truck Driver,20
9,2,do you love me,8
10,2,Deutsche Wehrmacht,1
1,3,Wolf Pack & Horizon,7041216
2,3,Dirty Mastiff Cartel,4522535
3,3,The Wolf Pack,103220
4,3,Axis 17,3593
5,3,Bad Hombres,3
1,4,Dirty Mastiff Cartel,20111
2,4,Bad Hombres,46
1,11,Black Sail Reapers,224938233
2,11,Arrows & Guards,872833
3,11,Die Rentnergang,96902
4,11,Dirty Mastiff Cartel,85000
5,11,Bad Hombres,72793
6,11,The Wolf Pack,10341
7,11,wolfdogs,2988
8,11,Cancellation Button,1967
9,11,Deutsche Wehrmacht,1727
10,11,Swamp Donkeys,1673
11,11,dq squad 2,667
12,11,Wild Ones All Hail,5
1,12,Black Sail Reapers,362345750
2,12,Dirty Mastiff Cartel,22392606
3,12,Bad Hombres,1557761
4,12,Axis 17,726574
5,12,Wolf Pack & Horizon,673552
6,12,HellSpawn,456605
7,12,Arrows & Guards,107349
8,12,BIG ALLIANCE,13979
9,12,The Wolf Pack,2043
1,13,Wolf Pack & Horizon,241300710
2,13,Dirty Mastiff Cartel,70454424
3,13,The Wolf Pack,2579919
4,13,Marshmallows,2204195
5,13,Bad Hombres,1064646
6,13,Scarabs,253003
7,13,ANARCHY,127963
8,13,Arrows & Guards,106875
9,13,Wild Ones All Hail,66649
10,13,ComingBack,64958
11,13,Sausages,59550
12,13,Axis 17,13973
13,13,Black Sail Reapers,1913
1,14,Dirty Mastiff Cartel,275141603
2,14,Bad Hombres,3776323
3,14,HellSpawn,779110
4,14,Axis 17,160514
5,14,Scarabs,75008
6,14,Crozz is here again,54461
7,14,ComingBack,30000
8,14,Black Sail Reapers,839
9,14,Wild Ones All Hail,505
10,14,The_Axis,205
11,14,wolfdogs,100
12,14,Fashion Police,58
1,21,Black Sail Reapers,332488651
2,21,Dirty Mastiff Cartel,120532724
3,21,Wolf Pack & Horizon,462157
4,21,HellSpawn,182512
5,21,Bad Hombres,165195
6,21,Scarabs,159771
7,21,Axis 17,58845
8,21,Szövetség,17736
9,21,Swamp Donkeys,4362
10,21,Screaming Goats,1298
11,21,realytracw,404
12,21,Hungarian Army,8
1,20,Black Sail Reapers,113636732
2,20,Arrows & Guards,115576
3,20,Scarabs,27170
4,20,Cancellation Button,6040
5,20,Axis 17,3273
6,20,Wild Ones All Hail,562
7,20,The Kraken Society,8
8,20,Swamp Donkeys,1
1,22,Black Sail Reapers,247157086
2,22,Dirty Mastiff Cartel,209364757
3,22,Marshmallows,5245958
4,22,Bad Hombres,3035570
5,22,Wolf Pack & Horizon,2595062
6,22,The Wolf Pack,1376903
7,22,Arrows & Guards,1175176
8,22,Wild Ones All Hail,1124089
9,22,HellSpawn,600223
10,22,Szövetség,258753
11,22,paz y amor,114039
12,22,Scarabs,101686
13,22,Horizon ( W10 ),98670
14,22,Lubberland 2,21859
15,22,Goofing on Elvis,21418
16,22,Never more H,18777
17,22,Rifleman,12972
18,22,The Old Guard,10497
19,22,The ARK,10004
20,22,Horizon,4356
21,22,The Pungent Goats,1600
22,22,Just For Fun 2,1573
23,22,Axis 17,680
24,22,ANARCHY,421
25,22,Splinters Cell,76
26,22,Warriors,51
1,23,Wolf Pack & Horizon,338504685
2,23,The Wolf Pack,26415739
3,23,Arrows & Guards,942813
4,23,Angelus Mortis,540726
5,23,Dirty Mastiff Cartel,474000
6,23,Axis 17,393568
7,23,HellSpawn,230297
8,23,Bad Hombres,207996
9,23,Die Rentnergang,104492
10,23,ComingBack,70001
11,23,Wild Ones All Hail,41594
12,23,Black Sail Reapers,20391
13,23,Scarabs,15475
14,23,Rifleman,10435
15,23,dq squad 2,3439
16,23,Horizon ( W10 ),900
1,24,Wolf Pack & Horizon,297555915
2,24,The Wolf Pack,19937507
3,24,Tiny Alliance,200000
4,24,Swamp Donkeys,63527
5,24,The Royal Empire,15843
6,24,Wild Ones All Hail,6003
7,24,Lord Of Ultima,944
8,24,Scarabs,941
9,24,Arrows & Guards,600
10,24,chillin,160
11,24,Bad Hombres,1
1,25,Wolf Pack & Horizon,57196758
