ranking,continent,alliance,total_%,evara,vexemis,ibria,merius,ylanna,naera,cyndros,domdis,levels
1,1,Dirty Mastiff Cartel,1,-,-,1%(1),-,-,-,-,-,1
1,2,Dirty Mastiff Cartel,4,-,-,-,-,-,4%(1),-,-,1
1,3,Wolf Pack & Horizon,1,-,-,-,-,-,1%(1),-,-,1
1,11,Black Sail Reapers,8,-,-,-,-,-,-,8%(1),-,1
1,12,Black Sail Reapers,8,-,-,-,-,-,4%(2),-,4%(1),3
1,14,Dirty Mastiff Cartel,8,-,-,-,-,-,8%(2),-,-,2
1,20,Black Sail Reapers,5,5%(1),-,-,-,-,-,-,-,1
1,21,Black Sail Reapers,1,-,-,-,-,-,-,-,1%(1),1
1,22,Black Sail Reapers,11,1%(1),-,-,-,-,10%(2),-,-,3
2,22,Dirty Mastiff Cartel,9,7%(1),-,-,-,-,2%(1),-,-,2
1,23,Wolf Pack & Horizon,17,-,7%(2),-,10%(2),-,-,-,-,4
1,24,Wolf Pack & Horizon,8,-,-,-,-,8%(4),-,-,-,4
1,25,Wolf Pack & Horizon,5,-,-,5%(3),-,-,-,-,-,3
1,31,Dirty Mastiff Cartel,6,-,-,-,-,6%(1),-,-,-,1
2,31,Wild Ones All Hail,2,-,-,-,-,2%(1),-,-,-,1
1,30,Black Sail Reapers,3,-,-,3%(1),-,-,-,-,-,1
1,32,Dirty Mastiff Cartel,9,-,-,3%(1),-,6%(2),-,-,-,3
1,33,Wolf Pack & Horizon,12,-,7%(1),-,-,-,-,5%(2),-,3
1,34,Wolf Pack & Horizon,11,-,-,-,11%(3),-,-,-,-,3
1,35,Wolf Pack & Horizon,7,-,-,-,-,-,-,7%(3),-,3
1,41,Black Sail Reapers,3,-,-,3%(1),-,-,-,-,-,1
1,42,Black Sail Reapers,2,-,-,1%(1),-,1%(1),-,-,-,2
1,43,Black Sail Reapers,4,-,-,-,-,-,-,2%(1),2%(1),2
1,44,Wolf Pack & Horizon,4,-,4%(4),-,-,-,-,-,-,4
1,52,Wolf Pack & Horizon,1,-,-,1%(1),-,-,-,-,-,1
1,53,Wolf Pack & Horizon,7,-,-,-,-,7%(2),-,-,-,2
