ranking,continent,alliance,military
1,N/A,Wolf Pack & Horizon,990185696
2,N/A,Dirty Mastiff Cartel,841315027
3,N/A,Black Sail Reapers,757596584
4,N/A,Tiny Alliance,283559540
5,N/A,The Wolf Pack,75627116
6,N/A,HellSpawn,74328537
7,N/A,Wild Ones All Hail,53785716
8,N/A,Arrows & Guards,24764619
9,N/A,Axis 17,4106041
10,N/A,Alliance One,1834991
11,N/A,Horizon ( W10 ),1415204
12,N/A,wasteoftime,935497
13,N/A,Angelus Mortis,539349
14,N/A,Scarabs,485138
15,N/A,Szövetség,272653
16,N/A,Horizon,271221
17,N/A,HouseEastborn,165858
18,N/A,paz y amor,114039
19,N/A,Die Rentnergang,100207
20,N/A,Swamp Donkeys,82429
21,N/A,ComingBack,68066
22,N/A,Sausages,65807
23,N/A,Left Alone,56000
24,N/A,Tribulation Saints,46762
25,N/A,ANARCHY,45655
26,N/A,Rifleman,21625
27,N/A,The ARK,18903
28,N/A,Lubberland 2,18786
29,N/A,UNWANTED,18407
30,N/A,House Cuthbertson,16239
31,N/A,The Royal Empire,15843
32,N/A,Goofing on Elvis,15321
33,N/A,realytracw,15315
34,N/A,Cupid Stunt,12749
35,N/A,Legio Draconis,11680
36,N/A,The Old Guard,10497
37,N/A,Tribe of Foxes,9064
38,N/A,Elite del Kaos,8428
39,N/A,Fuck Big Alliances,7628
40,N/A,just for fun,7227
41,N/A,Crozz is here again,7020
42,N/A,Fashion Police,6529
43,N/A,NEPOTICOS UNIDOS,5590
44,N/A,westeros111,5210
45,N/A,NoSTress,4675
46,N/A,Neophyte,4084
47,N/A,No Alliance Alliance,3031
48,N/A,dq squad 2,2578
49,N/A,M.Y.T.H,2425
50,N/A,KeeponPimpin,2374
51,N/A,wolfdogs,2291
52,N/A,Deutsche Wehrmacht,1604
53,N/A,The Pungent Goats,1600
54,N/A,Lord Of Ultima,1499
55,N/A,red knights,1494
56,N/A,Screaming Goats,1298
57,N/A,fire in the hole,1210
58,N/A,Cancellation Button,627
59,N/A,SoFrench,580
60,N/A,BROTHERS OF FAITH,428
61,N/A,Cyber Security Class,416
62,N/A,Paradigma,366
63,N/A,the shadows,217
64,N/A,Allied Insects,209
65,N/A,The_Axis,205
66,N/A,chillin,160
67,N/A,UnitedFedofPlanets,119
68,N/A,Splinters Cell,76
69,N/A,on my own,56
70,N/A,Warriors,51
71,N/A,Zerks On Opium,33
72,N/A,Truck Driver,20
73,N/A,Alianza Sparta,10
74,N/A,the needed,10
75,N/A,Hungarian Army,8
76,N/A,The Kraken Society,8
77,N/A,do you love me,8
78,N/A,"CONQUERORS ",8
